Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
NABIL,2026-04-19,541.6,541.6,528.0,530.0,529.91,39114.0,531.0,20726889.9,426,-1.0,13.6,-0.19,2.58,0.02,508.37,512.34,562.0,471.0
NABIL,2026-04-20,533.0,534.9,527.1,528.0,528.91,39912.0,530.0,21109795.6,494,-2.0,7.8,-0.38,1.48,-0.17,508.38,512.56,562.0,471.0
NABIL,2026-04-21,550.0,550.0,525.0,526.0,527.38,35671.0,528.0,18812349.4,457,-2.0,25.0,-0.38,4.76,-0.26,508.42,512.78,562.0,471.0
NABIL,2026-04-22,526.0,527.0,519.0,526.5,521.51,66642.0,526.0,34754254.81,629,0.5,8.0,0.1,1.54,0.95,508.52,513.0,562.0,471.0
NABIL,2026-04-23,530.0,530.0,518.0,520.0,521.64,33344.0,526.5,17393485.5,457,-6.5,12.0,-1.23,2.32,-0.31,508.52,513.19,562.0,471.0
NABIL,2026-04-24,520.0,520.0,515.0,518.0,517.57,38819.0,520.0,20091557.7,482,-2.0,5.0,-0.38,0.97,0.08,508.58,513.35,562.0,471.0
NABIL,2026-04-25,520.0,520.0,515.0,518.0,517.57,38819.0,520.0,20091557.7,482,-2.0,5.0,-0.38,0.97,0.08,508.58,513.35,562.0,471.0
NABIL,2026-04-26,520.0,520.0,515.0,518.0,517.57,38819.0,520.0,20091557.7,482,-2.0,5.0,-0.38,0.97,0.08,508.58,513.35,562.0,471.0
NABIL,2026-04-27,518.0,522.0,517.5,519.2,519.42,36199.0,518.0,18802312.9,506,1.2,4.5,0.23,0.87,-0.04,508.66,513.5,562.0,471.0
NABIL,2026-04-28,519.2,532.0,519.2,525.0,526.46,66167.0,519.2,34834152.6,646,5.8,12.8,1.12,2.47,-0.28,508.79,513.68,562.0,471.0
NABIL,2026-04-29,525.0,527.0,522.0,524.9,523.68,36190.0,525.0,18951819.1,491,-0.1,5.0,-0.02,0.96,0.23,508.92,513.85,562.0,471.0
NABIL,2026-04-30,524.0,528.1,520.0,528.0,524.48,47024.0,524.9,24662941.4,491,3.1,8.1,0.59,1.56,0.67,509.08,514.02,562.0,471.0
NABIL,2026-05-01,524.0,528.1,520.0,528.0,524.48,47024.0,524.9,24662941.4,491,3.1,8.1,0.59,1.56,0.67,509.08,514.02,562.0,471.0
NABIL,2026-05-02,524.0,528.1,520.0,528.0,524.48,47024.0,524.9,24662941.4,491,3.1,8.1,0.59,1.56,0.67,509.08,514.02,562.0,471.0
NABIL,2026-05-03,524.0,528.1,520.0,528.0,524.48,47024.0,524.9,24662941.4,491,3.1,8.1,0.59,1.56,0.67,509.08,514.02,562.0,471.0
NABIL,2026-05-04,528.0,535.0,516.0,521.0,523.27,62346.0,528.0,32623916.8,818,-7.0,19.0,-1.33,3.68,-0.44,509.19,514.13,562.0,471.0
NABIL,2026-05-05,520.0,526.0,516.0,521.6,521.25,38727.0,521.0,20186499.1,539,0.6,10.0,0.12,1.94,0.07,509.32,514.26,562.0,471.0
NABIL,2026-05-06,525.0,527.0,522.0,522.3,523.25,23570.0,521.6,12333112.2,329,0.7,5.0,0.13,0.96,-0.18,509.44,514.41,562.0,471.0
NABIL,2026-05-07,525.0,525.0,522.2,523.0,523.21,32514.0,522.3,17011699.1,349,0.7,2.8,0.13,0.54,-0.04,509.57,514.55,562.0,471.0
NABIL,2026-05-08,525.0,528.0,520.1,523.0,523.65,44672.0,523.0,23392652.4,504,0.0,7.9,0.0,1.52,-0.12,509.71,514.61,562.0,471.0
NABIL,2026-05-09,525.0,528.0,520.1,523.0,523.65,44672.0,523.0,23392652.4,504,0.0,7.9,0.0,1.52,-0.12,509.71,514.61,562.0,471.0
NABIL,2026-05-10,525.0,528.0,520.1,523.0,523.65,44672.0,523.0,23392652.4,504,0.0,7.9,0.0,1.52,-0.12,509.71,514.61,562.0,471.0
