Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Daily_return,SMA_20,EMA_20,RSI_14,MACD
NABIL,2024-03-04,432.4,458.3,432.0,458.3,453.68,14359.0,424.0,6514387.2,26,34.3,26.3,8.09,6.09,1.01,529.26,553.0,653.0,422.0,0.06655806376541779,510.6300000000002,492.54137541295154,40.77588903952453,-6.5237783058121295
NABIL,2024-03-05,459.0,459.0,435.0,446.0,447.73,85486.0,458.3,38275055.4,963,-12.3,24.0,-2.68,5.52,-0.39,528.05,552.11,653.0,422.0,0.12060301507537688,539.2750000000002,522.5851429226906,49.584089534180315,3.6947596203300463
NABIL,2024-03-06,448.0,450.0,440.0,442.0,444.21,46408.0,446.0,20614974.9,508,-4.0,10.0,-0.9,2.27,-0.5,526.8,551.2,653.0,422.0,0.085995085995086,539.92,527.4010467869606,49.54607353608715,0.08751984486661968
NABIL,2024-03-07,450.0,450.0,442.0,445.5,444.97,27778.0,442.0,12360332.5,392,3.5,8.0,0.79,1.81,0.12,525.56,550.33,653.0,422.0,0.0945945945945946,545.0229999999999,529.1953164752377,49.558663391174754,6.0638898509108685
NABIL,2024-03-08,450.0,450.0,442.0,445.5,444.97,27778.0,442.0,12360332.5,392,3.5,8.0,0.79,1.81,0.12,525.56,550.33,653.0,422.0,0.0945945945945946,545.0229999999999,529.1953170324975,49.558663391174754,6.063884421846296
NABIL,2024-03-09,450.0,450.0,442.0,445.5,444.97,27778.0,442.0,12360332.5,392,3.5,8.0,0.79,1.81,0.12,525.56,550.33,653.0,422.0,0.0945945945945946,545.0229999999999,529.1953170324975,49.558663391174754,6.063884421846296
NABIL,2024-03-10,448.0,451.0,447.0,449.8,449.1,38263.0,445.5,17184098.6,557,4.3,4.0,0.97,0.89,0.15,524.32,549.57,653.0,422.0,0.10788177339901481,562.8455,545.9988422904405,49.53109157037606,8.877042063773047
NABIL,2024-03-11,448.0,451.0,447.0,449.8,449.1,38263.0,445.5,17184098.6,557,4.3,4.0,0.97,0.89,0.15,524.32,549.57,653.0,422.0,0.10788177339901481,562.8455,545.9985482540076,49.53109157037606,8.886940054595243
NABIL,2024-03-12,458.7,470.0,455.0,469.0,462.2,62909.0,449.8,29076699.0,876,19.2,15.0,4.27,3.3,1.45,523.29,548.95,653.0,422.0,0.13012048192771083,572.3770000000002,552.950540524532,47.71998853479949,2.456790894774599
NABIL,2024-03-13,477.0,479.9,467.0,473.0,473.74,66733.0,469.0,31614147.3,885,4.0,12.9,0.85,2.76,-0.16,522.31,548.31,653.0,422.0,0.1587457128858403,574.1215000000004,570.0909802742033,50.745076634061896,9.80282222176254
NABIL,2024-03-14,480.0,480.0,468.3,471.9,471.73,48287.0,473.0,22778295.1,714,-1.1,11.7,-0.23,2.5,0.04,521.33,547.62,653.0,422.0,0.1709677419354838,562.2825000000005,540.7807594426332,49.77076943157345,5.834645212172177
NABIL,2024-03-15,480.0,480.0,468.3,471.9,471.73,48287.0,473.0,22778295.1,714,-1.1,11.7,-0.23,2.5,0.04,521.33,547.62,653.0,422.0,0.1709677419354838,562.2825000000009,540.7807598818995,49.77076943157345,5.834645635466018
NABIL,2024-03-16,480.0,480.0,468.3,471.9,471.73,48287.0,473.0,22778295.1,714,-1.1,11.7,-0.23,2.5,0.04,521.33,547.62,653.0,422.0,0.1709677419354838,562.2825000000014,540.7807598818995,49.77076943157345,5.834645635466018
NABIL,2024-03-17,478.0,480.0,462.0,464.0,465.6,51485.0,471.9,23971254.6,615,-7.9,18.0,-1.67,3.9,-0.34,520.28,546.92,653.0,422.0,0.12430336806396902,579.2365000000017,564.8190403219904,50.74999488058102,18.408373035430827
NABIL,2024-03-18,473.0,473.0,459.0,461.0,461.03,36185.0,464.0,16682507.5,460,-3.0,14.0,-0.65,3.05,-0.01,519.23,546.19,653.0,422.0,0.10287081339712918,581.4510000000014,576.141068487154,50.646526790028496,11.7861845526337
NABIL,2024-03-19,460.0,462.0,456.0,460.0,459.95,34096.0,461.0,15682309.0,452,-1.0,6.0,-0.22,1.32,0.01,518.19,545.46,653.0,422.0,0.06162012462497112,574.5510000000019,552.2963931323472,49.951876495838924,11.899612779984068
NABIL,2024-03-20,463.0,465.0,456.0,457.0,458.72,31882.0,460.0,14624891.1,480,-3.0,9.0,-0.65,1.97,-0.38,517.14,544.72,653.0,422.0,0.045049165332723504,593.0625000000022,581.6712151901122,50.632492164528735,21.665649042556993
NABIL,2024-03-21,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0,0.0367816091954023,607.7415000000021,578.4991535305805,51.332893882259405,15.45070397939071
NABIL,2024-03-22,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0,0.0367816091954023,607.7415000000021,578.4991523923866,51.33289388225943,15.450743948387526
NABIL,2024-03-23,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0,0.0367816091954023,607.7415000000021,578.4991523923866,51.33289388225943,15.450743948387526
NABIL,2024-03-24,459.9,459.9,449.0,451.0,450.47,46500.0,457.0,20947008.4,590,-6.0,10.9,-1.31,2.43,0.12,516.05,543.92,653.0,422.0,0.0367816091954023,607.7415000000021,578.4991523923866,51.33289388225943,15.450743948387526
NABIL,2024-03-25,458.0,458.0,444.4,445.0,445.82,33441.0,451.0,14908542.0,457,-6.0,13.6,-1.33,3.06,-0.18,514.94,543.08,653.0,422.0,0.05200945626477541,573.7450000000023,558.6758806441115,51.29551001303868,18.844311580061913
NABIL,2024-03-26,445.1,448.0,440.0,441.8,442.81,40492.0,445.0,17930260.1,510,-3.2,8.0,-0.72,1.82,-0.23,513.79,542.22,653.0,422.0,0.041981132075471723,574.9450000000022,567.1969906589875,50.53691049247648,12.317160659678962
NABIL,2024-03-27,442.0,447.0,440.0,440.5,441.09,30220.0,441.8,13329809.2,430,-1.3,7.0,-0.29,1.59,-0.13,512.56,541.33,653.0,422.0,0.0508110687022901,570.8375000000026,569.7719301892959,50.546647230320694,5.195411315509887
NABIL,2024-03-28,442.0,444.0,440.0,442.5,441.25,32919.0,440.5,14525360.1,420,2.0,4.0,0.45,0.91,0.28,511.38,540.47,653.0,422.0,0.0550786838340487,572.1250000000025,560.7172926701513,50.556225479372955,13.957747254164929
NABIL,2024-03-29,442.0,444.0,440.0,442.5,441.25,32919.0,440.5,14525360.1,420,2.0,4.0,0.45,0.91,0.28,511.38,540.47,653.0,422.0,0.0550786838340487,572.1250000000022,560.7172929590251,50.556225479372955,13.957733081083802
NABIL,2024-03-30,442.0,444.0,440.0,442.5,441.25,32919.0,440.5,14525360.1,420,2.0,4.0,0.45,0.91,0.28,511.38,540.47,653.0,422.0,0.0550786838340487,572.1250000000022,560.7172929590251,50.556225479372955,13.957733081083802
NABIL,2024-03-31,443.0,448.0,437.9,440.0,440.85,55639.0,442.5,24528721.5,648,-2.5,10.1,-0.56,2.31,-0.19,510.14,539.6,653.0,422.0,0.0784313725490196,569.8375000000021,561.8605949169813,50.3873366730362,5.52796367261567
NABIL,2024-04-01,437.0,439.0,432.0,439.0,435.43,44256.0,440.0,19270228.2,524,-1.0,7.0,-0.23,1.62,0.81,508.86,538.74,653.0,422.0,0.0715157432267513,579.2500000000024,571.7245577980141,50.03752814610959,9.183356658349794
NABIL,2024-04-02,437.0,440.0,432.0,436.0,436.93,26386.0,439.0,11528904.1,357,-3.0,8.0,-0.68,1.85,-0.21,507.57,537.86,653.0,422.0,0.018691588785046728,581.6855000000025,575.7265214133156,49.975217180111585,8.08239201355002
NABIL,2024-04-03,439.0,439.0,432.0,434.0,434.28,40271.0,436.0,17488920.7,504,-2.0,7.0,-0.46,1.62,-0.06,506.28,536.99,653.0,422.0,0.04101703046294081,587.3190000000026,580.8889010572473,50.00809737580245,5.624829445347814
NABIL,2024-04-04,434.0,436.0,432.7,434.0,434.14,37125.0,434.0,16117591.6,471,0.0,3.3,0.0,0.76,-0.03,504.95,536.13,653.0,422.0,0.04830917874396135,602.5285000000025,585.062192107049,49.98448375915069,17.974742784018417
NABIL,2024-04-05,434.0,436.0,432.7,434.0,434.14,37125.0,434.0,16117591.6,471,0.0,3.3,0.0,0.76,-0.03,504.95,536.13,653.0,422.0,0.04830917874396135,602.5285000000025,585.0621965442704,49.98448375915069,17.974635386916702
NABIL,2024-04-06,434.0,436.0,432.7,434.0,434.14,37125.0,434.0,16117591.6,471,0.0,3.3,0.0,0.76,-0.03,504.95,536.13,653.0,422.0,0.04830917874396135,602.5285000000025,585.0621965442704,49.98448375915069,17.974635386916702
